,y_dates,y_pred,
678,19/2/2016,0.062564388,
679,26/2/2016,0.062559284,
680,4/3/2016,0.062553048,
681,11/3/2016,0.062546782,
682,18/3/2016,0.062540576,
683,25/3/2016,0.062534347,
684,1/4/2016,0.062528141,
685,8/4/2016,0.062521949,
686,15/4/2016,0.062515758,
687,22/4/2016,0.062509581,
688,29/4/2016,0.06250342,
689,6/5/2016,0.062497258,
690,13/5/2016,0.062491126,
691,20/5/2016,0.062484983,
692,27/5/2016,0.062478863,
693,3/6/2016,0.062472742,
694,10/6/2016,0.062466647,
695,17/6/2016,0.06246056,
696,24/6/2016,0.062454496,
697,1/7/2016,0.062448408,
698,8/7/2016,0.06244237,
699,15/7/2016,0.062436324,
700,22/7/2016,0.062430296,
701,29/7/2016,0.062424269,
702,5/8/2016,0.062418256,
703,12/8/2016,0.062412251,
704,19/8/2016,0.062406272,
705,26/8/2016,0.062400285,
706,2/9/2016,0.062394314,
707,9/9/2016,0.062388346,
708,16/9/2016,0.062382407,
709,23/9/2016,0.062376447,
710,30/9/2016,0.062370539,
711,7/10/2016,0.062364612,
712,14/10/2016,0.062358715,
713,21/10/2016,0.062352818,
714,28/10/2016,0.062346924,
715,4/11/2016,0.062341053,
716,11/11/2016,0.062335189,
717,18/11/2016,0.062329333,
718,25/11/2016,0.062323488,
719,2/12/2016,0.062317651,
720,9/12/2016,0.062311824,
721,16/12/2016,0.062306009,
722,23/12/2016,0.062300205,
723,30/12/2016,0.062294401,
724,6/1/2017,0.062288631,
725,13/1/2017,0.062282842,
726,20/1/2017,0.062277086,
727,27/1/2017,0.062271338,
728,3/2/2017,0.062265594,
729,10/2/2017,0.062259857,
730,17/2/2017,0.062254135,
731,24/2/2017,0.062248413,
732,3/3/2017,0.062242709,
733,10/3/2017,0.062237002,
734,17/3/2017,0.062231328,
735,24/3/2017,0.062225651,
736,31/3/2017,0.060737725,
737,7/4/2017,0.060732808,
738,14/4/2017,0.060727883,
739,21/4/2017,0.060722977,
740,28/4/2017,0.060718067,
741,5/5/2017,0.060713172,
742,12/5/2017,0.060708288,
743,19/5/2017,0.060703415,
744,26/5/2017,0.060698539,
745,2/6/2017,0.060693689,
746,9/6/2017,0.076430045,
747,16/6/2017,0.06068401,
748,23/6/2017,0.076421648,
749,30/6/2017,0.060674347,
750,7/7/2017,0.060670506,
751,14/7/2017,0.06075114,
752,21/7/2017,0.060746256,
753,28/7/2017,0.060741398,
754,4/8/2017,0.076281756,
755,11/8/2017,0.094351031,
756,18/8/2017,0.094347812,
757,25/8/2017,0.094344594,
758,1/9/2017,0.176639438,
759,8/9/2017,0.094222747,
760,15/9/2017,0.123997524,
761,22/9/2017,0.115530521,
762,29/9/2017,0.105968796,
763,6/10/2017,0.105833277,
764,13/10/2017,0.105766401,
765,20/10/2017,0.123200402,
766,27/10/2017,0.105565764,
767,3/11/2017,0.123062216,
768,10/11/2017,0.105300039,
769,17/11/2017,0.092078634,
770,24/11/2017,0.110278063,
771,1/12/2017,0.110143229,
772,8/12/2017,0.110000528,
773,15/12/2017,0.109858677,
774,22/12/2017,0.094754487,
775,29/12/2017,0.085096255,
776,5/1/2018,0.091805495,
777,12/1/2018,0.101951741,
778,19/1/2018,0.062713571,
779,26/1/2018,0.062710717,
780,2/2/2018,0.062707879,
781,9/2/2018,0.06270504,
782,16/2/2018,0.062699027,
783,23/2/2018,0.062693059,
784,2/3/2018,0.062687077,
785,9/3/2018,0.062681094,
786,16/3/2018,0.062675141,
787,23/3/2018,0.062669188,
788,30/3/2018,0.06266325,
789,6/4/2018,0.063397594,
790,13/4/2018,0.063390926,
791,20/4/2018,0.063384272,
792,27/4/2018,0.063377634,
793,4/5/2018,0.063371025,
794,11/5/2018,0.079771757,
